"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0134009M";"Université";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";37
"0134009M";"Université";"MCF";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";74
"0134009M";"Université";"MCF";7;"7-Sciences du langage : linguistique et phonétique générales";"Langues et littératures";"Lettres et sciences humaines";23
"0134009M";"Université";"MCF";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";7
"0134009M";"Université";"MCF";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";27
"0134009M";"Université";"MCF";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";3
"0134009M";"Université";"MCF";11;"11-Langues et littératures anglaises et anglo-saxonnes";"Langues et littératures";"Lettres et sciences humaines";35
"0134009M";"Université";"MCF";12;"12-Langues et littératures germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";7
"0134009M";"Université";"MCF";13;"13-Langues et littératures slaves";"Langues et littératures";"Lettres et sciences humaines";2
"0134009M";"Université";"MCF";14;"14-Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"Langues et littératures";"Lettres et sciences humaines";26
"0134009M";"Université";"MCF";15;"15-Langues et littératures arabes, chinoises, japonaises, hébraique, d'autres domaines linguistiques";"Langues et littératures";"Lettres et sciences humaines";14
"0134009M";"Université";"MCF";16;"16-Psychologie, psychologie clinique, psychologie sociale";"Sciences humaines";"Lettres et sciences humaines";45
"0134009M";"Université";"MCF";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";12
"0134009M";"Université";"MCF";18;"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";25
"0134009M";"Université";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";26
"0134009M";"Université";"MCF";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";12
"0134009M";"Université";"MCF";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";19
"0134009M";"Université";"MCF";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";21
"0134009M";"Université";"MCF";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";19
